IFM Electronic,,SI5000,Датчик потока IFM Electronic SI5000,SI5000,54900,RUB,https://sensoren.ru/product/datchik_potoka_ifm_electronic_si5000/,14665774.html
IFM Electronic,,SA5000,Датчик потока IFM Electronic SA5000,SA5000,47880,RUB,https://sensoren.ru/product/kalorimetricheskiy_datchik_potoka_ifm_electronic_sa5000/,6ada77dc.html
IFM Electronic,,SF5704,Датчик потока модульный IFM Electronic SF5704,SF5704,118800,RUB,https://sensoren.ru/product/datchik_potoka_modulnyy_ifm_electronic_sf5704/,c94fc178.html
IFM Electronic,,SA4300,Калориметрический датчик потока IFM Electronic SA4300,SA4300,66600,RUB,https://sensoren.ru/product/kalorimetricheskiy_datchik_potoka_ifm_electronic_sa4300/,412cb42c.html
IFM Electronic,,SA4314,Калориметрический датчик потока IFM Electronic SA4314,SA4314,69210,RUB,https://sensoren.ru/product/kalorimetricheskiy_datchik_potoka_ifm_electronic_sa4314/,432ef5e9.html
IFM Electronic,,SA4304,Калориметрический датчик потока IFM Electronic SA4304,SA4304,67860,RUB,https://sensoren.ru/product/kalorimetricheskiy_datchik_potoka_ifm_electronic_sa4304/,3d2cade0.html
IFM Electronic,,SI5007,Калориметрический датчик потока IFM Electronic SI5007,SI5007,59130,RUB,https://sensoren.ru/product/kalorimetricheskiy_datchik_potoka_ifm_electronic_si5007/,136655e1.html
IFM Electronic,,SI0557,Датчик потока IFM Electronic SI0557,SI0557,,,https://sensoren.ru/product/datchik_potoka_ifm_electronic_si0557/,ff69df96.html
IFM Electronic,,SI6600,Датчик потока для гигиенических сред IFM Electronic SI6600,SI6600,68040,RUB,https://sensoren.ru/product/datchik_potoka_dlya_gigienicheskikh_sred_ifm_electronic_si6600/,680afe51.html
IFM Electronic,,SI6700,Датчик потока для гигиенических сред IFM Electronic SI6700,SI6700,69120,RUB,https://sensoren.ru/product/datchik_potoka_dlya_gigienicheskikh_sred_ifm_electronic_si6700/,e83663a6.html
IFM Electronic,,SI0555,Датчик потока IFM Electronic SI0555,SI0555,82260,RUB,https://sensoren.ru/product/datchik_potoka_ifm_electronic_si0555/,fd69dc70.html
IFM Electronic,,SA4104,Датчик потока IFM Electronic SA4104,SA4104,65610,RUB,https://sensoren.ru/product/kalorimetricheskiy_datchik_potoka_ifm_electronic_sa4104/,9b4993f6.html
IFM Electronic,,SF5703,Датчик потока модульный IFM Electronic SF5703,SF5703,112140,RUB,https://sensoren.ru/product/datchik_potoka_modulnyy_ifm_electronic_sf5703/,d04fcc7d.html
IFM Electronic,,SI5002,Калориметрический датчик потока IFM Electronic SI5002,SI5002,60030,RUB,https://sensoren.ru/product/kalorimetricheskiy_datchik_potoka_ifm_electronic_si5002/,16665a9a.html
IFM Electronic,,SA5004,Датчик потока IFM Electronic SA5004,SA5004,63360,RUB,https://sensoren.ru/product/kalorimetricheskiy_datchik_potoka_ifm_electronic_sa5004/,66da7190.html
