LENZE,,            8200 vectorTeachware Kit ,"Аксессуар для 8200, Teachware Kit 8200 vector, №13062380",13062380,74.71 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82CV223K4B201,"Преобразователь частоты E82CV223K4B201,  №13564950",13564950,"7,067.08 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82CV752K4C,"Преобразователь частоты E82CV752K4C,  №13436969",13436969,"3,429.33 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82EV113K4C040,"Преобразователь частоты E82EV113K4C040,  №13437010",13437010,"4,227.66 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82EV113K4C201,"Преобразователь частоты E82EV113K4C201,  №13437141",13437141,"4,737.31 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82EV302K4C001,"Преобразователь частоты E82EV302K4C001,  №13436489",13436489,"2,066.11 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82EV371K2C201,"Преобразователь частоты E82EV371K2C201,  №13437162",13437162,589.96 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82EV402K4C040,"Преобразователь частоты E82EV402K4C040,  №13437024",13437024,"2,327.24 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82EV453K4B303,"Преобразователь частоты E82EV453K4B303,  №13429718",13429718,"13,637.01 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82EV553K4B241,"Преобразователь частоты E82EV553K4B241,  №13428928",13428928,"12,778.39 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82EV751K2C200,"Преобразователь частоты 	E82EV751K2C200,  №13436012",13436012,554.80 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82MV402_4B001,"Преобразователь частоты E82MV402_4B001, motec, векторное управление, 3ф, 400-500 В, 4 КВт, IP65  с встроен. фильтром №13436721",13436721,"2,493.89 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82MV402_4B230,"Преобразователь частоты E82MV402_4B230,  №13436735",13436735,"2,493.89 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82MV551_4B151,"Преобразователь частоты E82MV551_4B151,  №13436681",13436681,"1,404.14 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82MV752_4B230,"Преобразователь частоты E82MV752_4B230,  №13436747",13436747,"3,363.61 EUR",EUR,,ff2fb945.html,,,,,,
LENZE,,            E82ZAFVC010,"Модуль E82ZAFVC010,  №13190126",13190126,343.00 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82ZM22232B,"Фильтр двигателя E82ZM22232B,  №13219209",13219209,269.35 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82ZPE2,"Монтажный комплект PTC-KIT E82ZPE2,  №00454243",454243,118.05 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82ZWBRB,"Тормозной модуль E82ZWBRB,  №13187435",13187435,69.19 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82ZWBRU,"Тормозной модуль E82ZWBRU,  №13217161",13217161,133.65 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82ZZ37112B200,"RFI фильтр радиопомех E82ZZ37112B200,  №13218593",13218593,157.30 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E82ZZ75112B210,"RFI фильтр радиопомехs E82ZZ75112B210,  №13218603",13218603,188.29 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            8400A BU/CU/SU,"Модуль 8400A BU/CU/SU,  №13478518/13395581",13478518,191.23 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E84ABBNE2512SN0,"Преобразователь частоты 	E84ABBNE2512SN0,  №13396354",13396354,434.66 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E84ABCSC0000VN0,"Модуль E84ABCSC0000VN0,  №13511294/13428297",13511294,411.36 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE1122SX0, 1 /N/PE AC230 V  1,1 кВт ","Преобразователь частоты E84AVBCE1122SX0, 1 /N/PE AC230 V  1,1 кВт  №13433145",13433145,442.93 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE1124SX0, 3/PE AC  400 V / 500 V  1,1 кВт","Преобразователь частоты E84AVBCE1124SX0, 3/PE AC  400 V / 500 V  1,1 кВт №13395849",13395849,608.00 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE1522SX0, 1/N/PE AC230 V  1,5 кВт","Преобразователь частоты E84AVBCE1522SX0, 1/N/PE AC230 V  1,5 кВт №13433146",13433146,500.20 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE1524SX0, 3/PE AC400 V / 500 V   1,5 кВт ","Преобразователь частоты E84AVBCE1524SX0,3/PE AC400 V / 500 V   1,5 кВт №13433163",13433163,671.98 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE2222SX0 1/N/PE AC 230 V 2,2 кВт","Преобразователь частоты E84AVBCE2222SX0, 1/N/PE AC 230 V 2,2 кВт  №13417002",13417002,557.45 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE2224SX0,  3/PE AC400 V / 500 V 2,2 кВт","Преобразователь частоты E84AVBCE2224SX0,  3/PE AC400 V / 500 V 2,2 кВт №13465971/13433164",13465971,761.24 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE2512SX0, 1/N/PE AC 230 V  0,25 кВт","Преобразователь частоты E84AVBCE2512SX0, 1/N/PE AC 230 V  0,25 кВт  №13466000/13433148",13466000,348.65 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE3024SX0, 3/PE AC400 V / 500 V  3 кВт CANopen","Преобразователь частоты E84AVBCE3024SX0, 3/PE AC400 V / 500 V  3 кВт CANopen  №13433165",13433165,848.82 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE3712SX0, 1/N/PE AC 230 V  0,37 кВт","Преобразователь частоты E84AVBCE3712SX0, 1/N/PE AC 230 V  0,37 кВт №13433149/13466001/13433149/13433149/13466001/13433149",13433149,370.53 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE3714SX0,  3/PE AC 400 V / 500 V 0,37 кВт ","Преобразователь частоты E84AVBCE3714SX0,  3/PE AC 400 V / 500 V 0,37 кВт №13395853",13395853,442.93 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE5512SX0, 1/N/PE AC 230 V 0,55 кВт ","Преобразователь частоты E84AVBCE5512SX0, 1/N/PE AC 230 V 0,55 кВт  №13466002/13433150",13466002,394.10 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE5514SX0, 3/PE AC  400 V / 500 V 0,55 кВт ","Преобразователь частоты E84AVBCE5514SX0, 3/PE AC  400 V / 500 V 0,55 кВт  №13433168",13433168,483.36 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE7512SX0, 1/N/PE AC 230 V 0,75 кВт ","Преобразователь частоты E84AVBCE7512SX0, 1/N/PE AC 230 V 0,75 кВт №13466003/13433151",13466003,414.31 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,"            E84AVBCE7514SX0,  3/PE AC400 V / 500 V  0,75 кВт BaseLine","Преобразователь частоты E84AVBCE7514SX0, BaseLine  3/PE AC400 V / 500 V  0,75 кВт №13433169",13433169,542.30 EUR,EUR,,ff2fb945.html,,,,,,
LENZE,,            E84AVBDE1122SX0,"Преобразователь частоты E84AVBDE1122SX0,  №13466004/13395827",13466004,384.00 EUR,EUR,,ff2fb945.html,,,,,,
